,symbol,timestamp,timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap,circulatingSupply
1416,UST,2024-10-11 23:59:59,2024-10-11 00:00:00,2024-10-11 23:59:59,2024-10-11 22:13:00,2024-10-11 00:00:00,0.0204677668,0.021513213,0.0204677668,0.021212969,7639060.05,123676537.47,5830232312.65
1417,UST,2024-10-12 23:59:59,2024-10-12 00:00:00,2024-10-12 23:59:59,2024-10-12 08:55:00,2024-10-12 03:29:00,0.021212969,0.0219534629,0.0210868814,0.0213551075,8585038.18,124505076.87,5830224782.08
1418,UST,2024-10-13 23:59:59,2024-10-13 00:00:00,2024-10-13 23:59:59,2024-10-13 07:18:00,2024-10-13 19:01:00,0.0213551075,0.0217116399,0.0202436729,0.0208121942,8793752.82,121339275.46,5830201013.87
1419,UST,2024-10-14 23:59:59,2024-10-14 00:00:00,2024-10-14 23:59:59,2024-10-14 17:59:00,2024-10-14 02:11:00,0.0208121942,0.0222115412,0.0205596358,0.0218543557,11929167.74,127414466.49,5830163476.0
1420,UST,2024-10-15 23:59:59,2024-10-15 00:00:00,2024-10-15 23:59:59,2024-10-15 10:47:00,2024-10-15 15:11:00,0.0218543557,0.0223451322,0.0208075668,0.0214000019,14009360.96,124765267.28,5830152159.64
1421,UST,2024-10-16 23:59:59,2024-10-16 00:00:00,2024-10-16 23:59:59,2024-10-16 16:07:00,2024-10-16 15:10:00,0.0214000019,0.0229015679,0.0207080062,0.0220763894,31904218.67,128707960.35,5830118237.29
1422,UST,2024-10-17 23:59:59,2024-10-17 00:00:00,2024-10-17 23:59:59,2024-10-17 02:40:00,2024-10-17 18:13:00,0.0220763894,0.0222803275,0.0207484549,0.0210500504,17368980.91,122723949.82,5830102416.57
1423,UST,2024-10-18 23:59:59,2024-10-18 00:00:00,2024-10-18 23:59:59,2024-10-18 18:27:00,2024-10-18 01:01:00,0.0210500504,0.0217804849,0.0207986568,0.021556473,10615485.74,125675707.44,5830068174.32
1424,UST,2024-10-19 23:59:59,2024-10-19 00:00:00,2024-10-19 23:59:59,2024-10-19 13:44:00,2024-10-19 07:58:00,0.021556473,0.0222763055,0.0214422714,0.0217706984,14488750.12,126924163.3,5830045543.6
1425,UST,2024-10-20 23:59:59,2024-10-20 00:00:00,2024-10-20 23:59:59,2024-10-20 14:49:00,2024-10-20 03:32:00,0.0217706984,0.022354376,0.0214258627,0.0221090617,10066776.0,128895411.08,5829981064.6
