timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;circulatingSupply;timestamp
"2022-07-29T00:00:00.000Z";"2022-07-29T23:59:59.999Z";"2022-07-29T06:34:00.000Z";"2022-07-29T22:05:00.000Z";"2781";0.037265566;0.0378557185;0.0353271468;0.0356669159;16552271.62;350088187.69;9815488079.9;"2022-07-29T23:59:59.999Z"
"2022-07-28T00:00:00.000Z";"2022-07-28T23:59:59.999Z";"2022-07-28T03:01:00.000Z";"2022-07-28T14:02:00.000Z";"2781";0.0367590456;0.0379098162;0.0361449007;0.0372665671;19208727.27;365789547.67;9815488134.25;"2022-07-28T23:59:59.999Z"
"2022-07-27T00:00:00.000Z";"2022-07-27T23:59:59.999Z";"2022-07-27T01:52:00.000Z";"2022-07-27T17:59:00.000Z";"2781";0.035318646;0.0416884071;0.035040251;0.0367551269;30905268.54;360769511.3;9815488117.27;"2022-07-27T23:59:59.999Z"
"2022-07-26T00:00:00.000Z";"2022-07-26T23:59:59.999Z";"2022-07-26T23:59:00.000Z";"2022-07-26T13:17:00.000Z";"2781";0.0349891255;0.0352910944;0.0329198762;0.0352910944;14512487.74;346399305.97;9815487779.78;"2022-07-26T23:59:59.999Z"
"2022-07-25T00:00:00.000Z";"2022-07-25T23:59:59.999Z";"2022-07-25T00:02:00.000Z";"2022-07-25T23:59:00.000Z";"2781";0.0371742014;0.037200922;0.0349988307;0.0349988307;13592237.59;343530593.87;9815487732.1;"2022-07-25T23:59:59.999Z"
"2022-07-24T00:00:00.000Z";"2022-07-24T23:59:59.999Z";"2022-07-24T12:37:00.000Z";"2022-07-24T05:00:00.000Z";"2781";0.0379299035;0.0385310572;0.0367560569;0.0371742613;14684077.16;364883559.92;9815489195.98;"2022-07-24T23:59:59.999Z"
"2022-07-23T00:00:00.000Z";"2022-07-23T23:59:59.999Z";"2022-07-23T17:16:00.000Z";"2022-07-23T15:58:00.000Z";"2781";0.0380326553;0.0394523847;0.0361661705;0.0379296036;20071205.69;372297683.12;9815491005.89;"2022-07-23T23:59:59.999Z"
"2022-07-22T00:00:00.000Z";"2022-07-22T23:59:59.999Z";"2022-07-22T00:05:00.000Z";"2022-07-22T20:23:00.000Z";"2781";0.0398500774;0.0398928348;0.0377781054;0.0380378566;13278600.03;373360177.41;9815489385.81;"2022-07-22T23:59:59.999Z"
"2022-07-21T00:00:00.000Z";"2022-07-21T23:59:59.999Z";"2022-07-21T19:31:00.000Z";"2022-07-21T04:22:00.000Z";"2781";0.0392303339;0.0403673987;0.0376299156;0.0398400778;18583176.21;391049947.28;9815491559.5;"2022-07-21T23:59:59.999Z"
"2022-07-20T00:00:00.000Z";"2022-07-20T23:59:59.999Z";"2022-07-20T12:14:00.000Z";"2022-07-20T23:28:00.000Z";"2781";0.042999564;0.0440870112;0.0387540945;0.0392268862;23739597.44;385031113.25;9815490104.22;"2022-07-20T23:59:59.999Z"
